id,label
1,4
2,4
3,4
4,4
5,2
6,3
7,3
8,4
9,1
10,4
11,4
12,4
13,4
14,3
15,2
16,3
17,4
18,2
19,1
20,3
21,1
22,3
23,2
24,2
25,4
26,3
27,1
28,2
29,3
30,2
31,3
32,2
33,2
34,4
35,3
36,3
37,3
38,3
39,2
40,1
41,1
42,3
43,2
44,4
45,1
46,4
47,4
48,3
49,4
50,3
51,4
52,1
53,3
54,2
55,3
56,1
57,2
58,1
59,3
60,4
61,2
62,0
63,1
64,1
65,1
66,1
67,4
68,4
69,4
70,4
71,1
72,0
73,0
74,1
75,1
76,0
77,1
78,3
79,1
80,2
81,3
82,2
83,2
84,3
85,2
86,4
87,1
88,4
89,1
90,2
91,1
92,0
93,3
94,3
95,3
96,2
97,3
98,1
99,1
100,4
101,3
102,4
103,1
104,1
105,1
106,1
107,2
108,1
109,1
110,0
111,0
112,2
113,2
114,1
115,3
116,4
117,2
118,3
119,2
120,2
121,1
122,0
123,2
124,1
125,1
126,3
127,2
128,1
129,3
130,3
131,2
132,1
133,1
134,1
135,2
136,1
137,1
138,0
139,1
140,1
141,2
142,1
143,1
144,3
145,4
146,4
147,3
148,4
149,3
150,2
151,2
152,2
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,2
161,3
162,1
163,1
164,2
165,2
166,1
167,3
168,1
169,1
170,1
171,0
172,1
173,4
174,1
175,1
176,4
177,3
178,4
179,2
180,2
181,3
182,2
183,2
184,1
185,2
186,1
187,1
188,1
189,3
190,3
191,1
192,0
193,3
194,3
195,4
196,4
197,4
198,2
199,2
200,3
201,1
202,2
203,1
204,2
205,4
206,2
207,1
208,2
209,3
210,2
211,3
212,4
213,2
214,0
215,1
216,2
217,1
218,0
219,0
220,2
221,1
222,3
223,3
224,4
225,3
226,3
227,2
228,2
229,2
230,3
231,3
232,1
233,2
234,0
235,0
236,2
237,2
238,1
239,2
240,2
241,4
242,2
243,2
244,1
245,4
246,2
247,1
248,1
249,0
250,3
251,1
252,1
253,1
254,4
255,1
256,3
257,3
258,1
259,0
260,2
261,4
262,1
263,2
264,0
265,2
266,1
267,1
268,1
269,0
270,2
271,3
272,2
273,2
274,1
275,4
276,3
277,3
278,1
279,1
280,1
281,0
282,1
283,1
284,1
285,1
286,1
287,2
288,3
289,4
290,3
291,3
292,1
293,1
294,0
295,3
296,1
297,1
298,2
299,1
300,1
301,2
302,1
303,1
304,2
305,3
306,1
307,2
308,3
309,1
310,2
311,1
312,1
313,2
314,1
315,0
316,1
317,1
318,1
319,2
320,1
321,3
322,3
323,3
324,2
325,0
326,2
327,1
328,3
329,0
330,1
331,1
332,1
333,2
334,3
335,3
336,2
337,1
338,1
339,4
340,3
341,2
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,2
350,3
351,3
352,3
353,3
354,2
355,3
356,3
357,1
358,1
359,2
360,1
361,2
362,1
363,1
364,1
365,2
366,2
367,2
368,1
369,2
370,3
371,1
372,1
373,1
374,2
375,2
376,2
377,2
378,0
379,0
380,1
381,0
382,3
383,4
384,3
385,2
386,2
387,1
388,3
389,4
390,3
391,1
392,1
393,1
394,2
395,1
396,3
397,3
398,4
399,3
400,0
401,0
402,0
403,3
404,4
405,4
406,4
407,4
408,3
409,1
410,1
411,0
412,1
413,1
414,2
415,1
416,0
417,0
418,1
419,0
420,1
421,1
422,3
423,2
